Personnel ID,First Name,Last Name,Gender Description,Age,Duty Description,Duty Location,"Employee Status 
(1-4)",Pay Grade,Start Date
HI147711,William,Jones, Male,32,CNC Machinist , Cranes and Heavy Lifting Equipment,1,18,12/23/2024
HI566807,Karen,Rodriguez, Female,50,CNC Machinist , Paint Shops,3,25,12/16/2024
HI188602,Mary,Jones, Female,44,CNC Machinist , Paint Shops,2,25,12/16/2024
HI946297,James,Miller, Male,33,CNC Machinist , Administrative Offices,4,22,12/9/2024
HI965817,William,Rodriguez, Male,58,CNC Machinist , Cranes and Heavy Lifting Equipment,2,22,12/9/2024
HI668388,Susan,Johnson, Female,28,CNC Machinist , Outfitting Docks,2,22,12/9/2024
HI390607,Linda,Garcia, Female,39,CNC Machinist , Cranes and Heavy Lifting Equipment,3,28,12/2/2024
HI773058,David,Miller, Male,46,CNC Machinist , Outfitting Docks,2,18,12/2/2024
HI958600,Susan,Garcia, Unknown,48,CNC Machinist , Paint Shops,3,18,12/2/2024
HI036713,Joseph,Brown, Male,21,CNC Machinist , Fabrication Shops,4,25,12/2/2024
HI831901,John,Miller, Male,51,CNC Machinist , Administrative Offices,2,28,11/25/2024
HI894348,John,Garcia, Male,30,CNC Machinist , Paint Shops,4,22,11/25/2024
HI520987,Karen,Johnson, Female,52,CNC Machinist , Testing Facilities,4,18,11/18/2024
HI508548,Linda,Davis, Female,46,CNC Machinist , Administrative Offices,2,25,11/18/2024
HI486083,Mary,Williams, Female,60,CNC Machinist , Dry Docks,3,18,11/11/2024
HI970016,Michael,Martinez, Male,64,CNC Machinist , Dry Docks,3,28,11/4/2024
HI570916,Barbara,Garcia, Female,36,CNC Machinist , Slipways,2,25,11/4/2024
HI632524,Jennifer,Garcia, Female,32,CNC Machinist , Fabrication Shops,4,22,11/4/2024
HI751285,Jessica,Garcia, Female,57,CNC Machinist , Paint Shops,1,25,10/28/2024
HI301989,John,Smith, Male,33,CNC Machinist , Cranes and Heavy Lifting Equipment,4,22,10/21/2024
HI898438,Karen,Rodriguez, Female,55,CNC Machinist , Paint Shops,2,25,10/21/2024
HI761734,Sarah,Davis, Unknown,18,CNC Machinist , Wet Docks,4,25,10/21/2024
HI401706,Karen,Miller, Female,36,CNC Machinist , Testing Facilities,3,22,10/7/2024
HI497416,Susan,Davis, Female,23,CNC Machinist , Administrative Offices,2,18,9/23/2024
